pays,code_pays,année,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
 Afrique du Sud,202,2013,Maïs,2514,10480000.00,4715000.00,33000.00,405000.00,43000.00,5283000.00,0.00
 Afrique du Sud,202,2013,"Plantes Oleiferes, Autre",2570,16000.00,0.00,0.00,0.00,14000.00,0.00,1000.00
 Afrique du Sud,202,2013,Pommes de Terre,2531,2126000.00,217000.00,79000.00,109000.00,0.00,1618000.00,103000.00
 Albanie,3,2013,Maïs,2514,420000.00,361000.00,3000.00,44000.00,3000.00,6000.00,3000.00
 Albanie,3,2013,Orge,2513,19000.00,7000.00,0.00,1000.00,9000.00,1000.00,1000.00
 Albanie,3,2013,Riz (Eq Blanchi),2805,25000.00,0.00,0.00,0.00,0.00,25000.00,0.00
 Algérie,4,2013,Blé,2511,9461000.00,545000.00,153000.00,672000.00,0.00,7270000.00,820000.00
 Allemagne,79,2013,Blé,2511,16491000.00,7494000.00,571000.00,663000.00,90000.00,6900000.00,774000.00
 Allemagne,79,2013,Maïs,2514,7961000.00,6136000.00,63000.00,122000.00,626000.00,1003000.00,11000.00
 Allemagne,79,2013,"Plantes Oleiferes, Autre",2570,188000.00,26000.00,0.00,2000.00,148000.00,9000.00,3000.00
 Allemagne,79,2013,Pommes de Terre,2531,8197000.00,105000.00,406000.00,1230000.00,234000.00,5084000.00,1138000.00
 Argentine,9,2013,Maïs,2514,7881000.00,4923000.00,280000.00,516000.00,464000.00,433000.00,1266000.00
 Argentine,9,2013,"Plantes Oleiferes, Autre",2570,71000.00,0.00,1000.00,5000.00,75000.00,0.00,0.00
 Arménie,1,2013,Blé,2511,554000.00,93000.00,30000.00,32000.00,10000.00,389000.00,0.00
 Arménie,1,2013,Orge,2513,198000.00,137000.00,14000.00,15000.00,7000.00,0.00,26000.00
 Arménie,1,2013,Pommes de Terre,2531,672000.00,225000.00,123000.00,96000.00,78000.00,134000.00,16000.00
 Australie,10,2013,Blé,2511,6691000.00,3200000.00,631000.00,229000.00,66000.00,1645000.00,920000.00
