Zone;PIB par hab.  En US Dollar 2017
Afghanistan;571,5425058
Afrique du Sud;7476,386324
Albanie;4864,310616
Algérie;4793,946657
Allemagne;46916,82418
Andorre;44430,74401
Angola;3409,929285
Antigua-et-Barbuda;14220,50211
Arabie saoudite;20693,94124
Argentine;10404,26351
Arménie;4198,794749
Aruba;26630,20528
Australie;56095,18632
Autriche;49112,73289
Azerbaïdjan;5764,69252
Bahamas;27113,67537
Bahreïn;22128,4327
Bangladesh;1127,271768
Barbade;16254,24043
Bélarus;6375,28893
Belgique;46637,51089
Belize;4211,446745
Bénin;1166,760575
Bhoutan;3072,020299
Bolivie (État plurinational de);2490,956314
Bosnie-Herzégovine;5772,854055
Botswana;7859,167283
Brésil;11021,71826
Brunéi Darussalam;31752,74081
Bulgarie;8350,662247
Burkina Faso;771,2519183
Burundi;214,1392462
Cabo Verde;3619,621022
Cambodge;1135,844336
Cameroun;1481,73199
Canada;51170,47583
Chili;14741,1925
Chine - RAS de Hong-Kong;37929,42567
Chine - RAS de Macao ;56423,28506
Chine, continentale;7346,611355
Chypre;30650,24479
Cisjordanie et Gaza;2724,414529
Colombie;7622,284022
Comores;1386,922368
Congo;2732,198234
Costa Rica;9775,850878
Côte d'Ivoire;1600,765243
Croatie;15350,44303
Cuba;6666,331728
Danemark;62733,01981
Djibouti;4913
Dominique;6561,407407
Égypte;2817,320226
El Salvador;3441,355251
Émirats arabes unis;41460,28345
Équateur;5205,76302
Érythrée;379
Espagne;32282,90385
Estonie;19109,30831
Eswatini;4711,692626
États-Unis d'Amérique;53382,76482
Éthiopie;548,4194805
Fédération de Russie;11550,52512
Fidji;4663,664292
Finlande;48086,66603
France;43015,21064
Gabon;9212,972581
Gambie;760,1247057
Géorgie;4512,7611
Ghana;1739,467492
Grèce;23052,98623
Grenade;8775,898644
Groenland;47647,64989
Guam;31847,64968
Guatemala;3286,741289
Guinée;869,3165799
Guinée équatoriale;11225,37253
Guinée-Bissau;614,4394299
Guyane;3853,705917
Haïti;728,8450017
Honduras;2176,295165
Hongrie;15809,77317
Île de Man;90190,75205
Îles Caïmans;76285,38412
Îles Marshall;2977,796566
Îles Salomon;1465,329956
Îles Vierges (EU);29290,78498
Inde;1986,63291
Indonésie;4120,521879
Iran (République islamique d’);6948,704429
Iraq;5637,905271
Irlande;71755,96702
Islande;51045,94006
Israël;34243,0126
Italie;35086,4783
Jamaïque;4785,653547
Japon;48510,60941
Jordanie;3262,517602
Kazakhstan;10867,73874
Kenya;1156,425297
Kirghizistan;1072,493694
Kiribati;1763,230002
Kosovo;4133,716977
Koweït;33359,42778
Lesotho;1391,936531
Lettonie;15429,70346
Liban;6370,889082
Libéria;548,0105383
Libye;7085,812149
Lituanie;16855,4214
Luxembourg;109452,96
Macédoine du Nord;5300,814935
Madagascar;481,3831479
Malaisie;11728,98029
Malawi;512,6456123
Maldives;7807,703997
Mali;766,480326
Malte;27750,67676
Mariannes;23239,69929
Maroc;3305,41922
Maurice;10199,47936
Mauritanie;1715,610752
Mexique;10301,35788
Micronésie, États fédérés de;2751,712396
République de Moldova;3321,622081
Monaco;186185,1052
Mongolie;3997,485874
Monténégro;7845,368126
Mozambique;588,741022
Myanmar;1482,662663
Namibie;6013,293441
Nauru;7572,791768
Népal;779,2039687
Nicaragua;1957,869573
Niger;532,0892798
Nigéria;2412,367125
Norvège;91549,03787
Nouvelle-Calédonie;33381,65
Nouvelle-Zélande;37725,12118
Oman;15630,49355
Ouganda;910,2697549
Ouzbékistan;2290,38133
Pakistan;1155,363367
Palaos;12121,64468
Panama;11530,07126
Papouasie-Nouvelle-Guinée;2485,529266
Paraguay;5272,57579
Pays-Bas;53942,08509
Pérou;6314,291438
Philippines;3042,68678
Pologne;15845,2486
Polynésie française;20431,22
Porto Rico;27561,05306
Portugal;23380,69259
Qatar;63632,59866
République centrafricaine;371,1087922
République de Corée;27492,57625
République démocratique populaire lao;1706,793233
République dominicaine;7273,353765
République populaire démocratique de Corée;1235
Slovaquie;19829,82431
Roumanie;11029,25038
Royaume-Uni de Grande-Bretagne et Irlande du Nord;43010,70634
Rwanda;802,7493532
Saint-Kitts-et-Nevis;16586,74825
Saint-Marin;49524,37507
Saint-Vincent-et-les Grenadines;6730,899022
Sainte-Lucie;9046,274228
Samoa;3847,184696
Samoa américaines;9048,182522
Sao Tomé-et-Principe;1287,809434
Sénégal;1495,341888
Serbie;6560,323194
Seychelles;14028,72089
Sierra Leone;466,9450694
Singapour;57378,86197
Slovénie;25721,85744
Soudan;1900,092771
Sri Lanka;3860,150308
Suède;57467,24997
Suisse;77684,04818
Suriname;7972,910266
Tadjikistan;1024,858954
République-Unie de Tanzanie;937,3014916
Tchad;817,5341371
Tchéquie;22754,7526
Thaïlande;6135,47196
Timor-Leste;871,2790258
Togo;661,1481259
Tonga;4090,336314
Trinité-et-Tobago;15261,87227
Tunisie;4343,439878
Turkménistan;7318,065501
Turquie;14874,78254
Tuvalu;3590,292471
Ukraine;2988,504215
Uruguay;14437,38469
Vanuatu;2854,000346
Venezuela (République bolivarienne du);12500
Viet Nam;1852,963037
Yémen;643,164002
Zambie;1660,761145
Zimbabwe;1263,321322
