auteur;genre;ethnie;religion;date_naissance;vivant;orientation_sexuelle
Adam Carolla;Homme;blanc;athee;27-05-1964;Oui;heterosexuel
Adam Ferrara;Homme;blanc;athee;02-02-1966;Oui;heterosexuel
Adam Sandler;Homme;blanc;juif;09-09-1966;Oui;heterosexuel
Aisha Tyler;Femme;afro-americain;athee;18-09-1970;Oui;heterosexuel
Al Madrigal;Homme;hispanique;athee;04-07-1971;Oui;heterosexuel
Alan Carr;Homme;blanc;athee;14-06-1976;Oui;heterosexuel
Alan King;Homme;blanc;athee;26-12-1927;Non;heterosexuel
Albert Brooks;Homme;blanc;athee;22-07-1947;Oui;heterosexuel
Alonzo Bodden;Homme;afro-americain;athee;13-06-1962;Oui;heterosexuel
Amy Poehler;Femme;blanc;athee;16-09-1971;Oui;heterosexuel
Amy Schumer;Femme;blanc;athee;01-06-1981;Oui;heterosexuel
Andrew Dice Clay;Homme;blanc;juif;29-09-1957;Oui;heterosexuel
Andrew Lawrence;Homme;blanc;athee;12-01-1988;Oui;heterosexuel
Andy Kaufman;Homme;blanc;juif;17-01-1949;Non;heterosexuel
Andy Kindler;Homme;blanc;juif;16-10-1956;Oui;heterosexuel
Andy Rooney;Homme;blanc;athee;14-01-1919;Non;heterosexuel
Ant;Homme;blanc;athee;22-08-1967;Oui;homosexuel
Anthony Jeselnik;Homme;blanc;athee;22-12-1978;Oui;heterosexuel
Aries Spears;Homme;afro-americain;athee;03-04-1975;Oui;heterosexuel
Arj Barker;Homme;indo-americain;athee;12-08-1974;Oui;heterosexuel
Artie Lange;Homme;blanc;athee;11-10-1967;Oui;heterosexuel
Aziz Ansari;Homme;indo-americain;athee;23-02-1983;Oui;heterosexuel
Benny Hill;Homme;blanc;athee;21-01-1924;Non;heterosexuel
Bernard Manning;Homme;blanc;athee;13-08-1930;Non;heterosexuel
Bernie Mac;Homme;afro-americain;athee;05-10-1957;Non;heterosexuel
Bill Bailey;Homme;blanc;athee;13-01-1965;Oui;heterosexuel
Bill Bellamy;Homme;afro-americain;athee;07-04-1965;Oui;heterosexuel
Bill Burr;Homme;blanc;athee;10-06-1968;Oui;heterosexuel
Bill Cosby;Homme;afro-americain;athee;12-07-1937;Oui;heterosexuel
Bill Engvall;Homme;blanc;athee;27-07-1957;Oui;heterosexuel
Bill Hicks;Homme;blanc;athee;16-12-1961;Non;heterosexuel
Bill Maher;Homme;blanc;athee;20-01-1956;Oui;heterosexuel
Billy Connolly;Homme;blanc;athee;24-11-1942;Oui;heterosexuel
Billy Crystal;Homme;blanc;athee;14-03-1948;Oui;heterosexuel
Bo Burnham;Homme;blanc;athee;21-08-1990;Oui;heterosexuel
Bob Hope;Homme;blanc;athee;29-05-1903;Non;heterosexuel
Bob Monkhouse;Homme;blanc;athee;01-06-1928;Non;heterosexuel
Bob Newhart;Homme;blanc;athee;05-09-1929;Oui;heterosexuel
Bob Saget;Homme;blanc;juif;17-05-1956;Oui;heterosexuel
Bobby Slayton;Homme;blanc;athee;21-05-1955;Oui;heterosexuel
Bobcat Goldthwait;Homme;blanc;athee;26-05-1962;Oui;heterosexuel
Bonnie McFarlane;Femme;blanc;athee;28-03-1973;Oui;heterosexuel
Brad Stine;Homme;blanc;chretien;21-01-1960;Oui;heterosexuel
Brett Butler;Femme;blanc;athee;30-01-1958;Oui;heterosexuel
Brian Posehn;Homme;blanc;athee;06-07-1966;Oui;heterosexuel
Brian Regan;Homme;blanc;athee;02-06-1958;Oui;heterosexuel
Bruce Bruce;Homme;afro-americain;athee;09-02-1965;Oui;heterosexuel
Buddy Hackett;Homme;blanc;athee;31-08-1924;Non;heterosexuel
