auteur,genre,ethnie,religion,date_naissance,vivant,
Adam Carolla,Homme,blanc,,27-05-1964,Oui,
Adam Ferrara,Homme,blanc,,02-02-1966,Oui,
Adam Sandler,Homme,blanc,juif,09-09-1966,Oui,
Aisha Tyler,Femme,afro-américain,,18-09-1970,Oui,
Al Madrigal,Homme,hispanique,,04-07-1971,Oui,
Alan Carr,Homme,blanc,,14-06-1976,Oui,
Alan King,Homme,blanc,,26-12-1927,Non,
Albert Brooks,Homme,blanc,,22-07-1947,Oui,
Alonzo Bodden,Homme,afro-américain,,13-06-1962,Oui,
Amy Poehler,Femme,blanc,,16-09-1971,Oui,
Amy Schumer,Femme,blanc,,01-06-1981,Oui,
Andrew Dice Clay,Homme,blanc,juif,29-09-1957,Oui,
Andrew Lawrence,Homme,blanc,,12-01-1988,Oui,
Andy Kaufman,Homme,blanc,juif,17-01-1949,Non,
Andy Kindler,Homme,blanc,juif,16-10-1956,Oui,
Andy Rooney,Homme,blanc,,14-01-1919,Non,
Ant,Homme,blanc,,22-08-1967,Oui,Gay
Anthony Jeselnik,Homme,blanc,,22-12-1978,Oui,
Aries Spears,Homme,afro-américain,,03-04-1975,Oui,
Arj Barker,Homme,indo-américain,,12-08-1974,Oui,
Artie Lange,Homme,blanc,,11-10-1967,Oui,
Aziz Ansari,Homme,indo-américain,,23-02-1983,Oui,
Benny Hill,Homme,blanc,,21-01-1924,Non,
Bernard Manning,Homme,blanc,,13-08-1930,Non,
Bernie Mac,Homme,afro-américain,,05-10-1957,Non,
Bill Bailey,Homme,blanc,,13-01-1965,Oui,
Bill Bellamy,Homme,afro-américain,,07-04-1965,Oui,
Bill Burr,Homme,blanc,,10-06-1968,Oui,
Bill Cosby,Homme,afro-américain,,12-07-1937,Oui,
Bill Engvall,Homme,blanc,,27-07-1957,Oui,
Bill Hicks,Homme,blanc,,16-12-1961,Non,
Bill Maher,Homme,blanc,,20-01-1956,Oui,
Billy Connolly,Homme,blanc,,24-11-1942,Oui,
Billy Crystal,Homme,blanc,,14-03-1948,Oui,
Bo Burnham,Homme,blanc,,21-08-1990,Oui,
Bob Hope,Homme,blanc,,29-05-1903,Non,
Bob Monkhouse,Homme,blanc,,01-06-1928,Non,
Bob Newhart,Homme,blanc,,05-09-1929,Oui,
Bob Saget,Homme,blanc,juif,17-05-1956,Oui,
Bobby Slayton,Homme,blanc,,21-05-1955,Oui,
Bobcat Goldthwait,Homme,blanc,,26-05-1962,Oui,
Bonnie McFarlane,Femme,blanc,,28-03-1973,Oui,
Brad Stine,Homme,blanc,chrétien,21-01-1960,Oui,
Brett Butler,Femme,blanc,,30-01-1958,Oui,
Brian Posehn,Homme,blanc,,06-07-1966,Oui,
Brian Regan,Homme,blanc,,02-06-1958,Oui,
Bruce Bruce,Homme,afro-américain,,09-02-1965,Oui,
Buddy Hackett,Homme,blanc,,31-08-1924,Non,
Carl Barron,Homme,blanc,,11-06-1964,Oui,
Carlos Mencia,Homme,hispanique,,22-10-1967,Oui,
Carol Leifer,Femme,blanc,,27-07-1956,Oui,
Carrot Top,Homme,,,,,
Cedric the Entertainer,Homme,,,,,
Chelsea Handler,Femme,,,,,
Chelsea Peretti,Femme,,,,,
Chic Murray,Homme,,,,,
Chris Hardwick,Homme,,,,,
Chris Rock,Homme,,,,,
Chris Tucker,Homme,,,,,
Christian Finnegan,Homme,,,,,
Christopher Titus,Homme,,,,,
Colin Quinn,Homme,,,,,
Craig Ferguson,Homme,,,,,
D. L. Hughley,Homme,,,,,
Damon Wayans,Homme,,,,,
Dana Carvey,Homme,,,,,
Dana Gould,Homme,,,,,
Dane Cook,Homme,,,,,
Daniel Tosh,Homme,,,,,
Dara O Briain,Homme,,,,,
Dat Phan,Homme,,,,,
Dave Attell,Homme,,,,,
Dave Chappelle,Homme,,,,,
David Alan Grier,Homme,,,,,
David Brenner,Homme,,,,,
David Cross,Homme,,,,,
David Letterman,Homme,,,,,
David Mitchell,Homme,,,,,
David Spade,Homme,,,,,
David Steinberg,Homme,,,,,
Demetri Martin,Homme,,,,,
Denis Leary,Homme,,,,,
Dennis Miller,Homme,,,,,
Dick Gregory,Homme,,,,,
Dom Irrera,Homme,,,,,
Don Rickles,Homme,,,,,
Donald Glover,Homme,,,,,
Donnell Rawlings,Homme,,,,,
Doug Benson,Homme,,,,,
Doug Stanhope,Homme,,,,,
Dov Davidoff,Homme,,,,,
Drew Carey,Homme,,,,,
Dylan Moran,Homme,,,,,
Earthquake,Homme,,,,,
Eddie Griffin,Homme,,,,,
Eddie Izzard,Homme,,,,,
Eddie Murphy,Homme,,,,,
Ellen DeGeneres,Femme,,,,,
Emo Philips,Homme,,,,,
Eugene Mirman,Homme,,,,,
Felipe Esparza,Homme,,,,,
Flight of the Conchords,Homme,,,,,
Flip Wilson,Homme,,,,,
Frank Caliendo,Homme,,,,,
Frank Carson,Homme,,,,,
Frankie Boyle,Homme,,,,,
Franklyn Ajaye,Homme,,,,,
Fred Allen,Homme,,,,,
Freddie Prinze,Homme,,,,,
Gabriel Iglesias,Homme,,,,,
Gallagher,Homme,,,,,
Garrison Keillor,Homme,,,,,
Garry Shandling,Homme,,,,,
Gary Gulman,Homme,,,,,
Gary Owen,Homme,,,,,
George Burns,Homme,,,,,
George Carlin,Homme,,,,,
George Lopez,Homme,,,,,
George Wallace,Homme,,,,,
Gilbert Gottfried,Homme,,,,,
Godfrey,Homme,,,,,
Greg Behrendt,Homme,,,,,
Greg Fitzsimmons,Homme,,,,,
Greg Giraldo,Homme,,,,,
Greg Proops,Homme,,,,,
Groucho Marx,Homme,,,,,
Hannibal Buress,Homme,,,,,
Henny Youngman,Homme,,,,,
Henry Cho,Homme,,,,,
Howie Mandel,Homme,,,,,
Iliza Shlesinger,Femme,,,,,
J. B. Smoove,Homme,,,,,
Jack Benny,Homme,,,,,
Jack Whitehall,Homme,,,,,
Jackie Mason,Homme,,,,,
Jake Johannsen,Homme,,,,,
Janeane Garofalo,Femme,,,,,
Jay Leno,Homme,,,,,
Jay Mohr,Homme,,,,,
Jeff Foxworthy,Homme,,,,,
Jeff Ross,Homme,,,,,
Jen Kirkman,Femme,,,,,
Jerry Seinfeld,Homme,,,,,
Jim Breuer,Homme,,,,,
Jim Carrey,Homme,,,,,
Jim Gaffigan,Homme,,,,,
Jim Jefferies,Homme,,,,,
Jim Norton,Homme,,,,,
Jimmy Carr,Homme,,,,,
Jo Koy,Homme,,,,,
Joan Rivers,Femme,,,,,
Joe Mande,Homme,,,,,
Joey Adams,Homme,,,,,
Joey Bishop,Homme,,,,,
John Bishop,Homme,,,,,
John Caparulo,Homme,,,,,
John Heffron,Homme,,,,,
John Mulaney,Homme,,,,,
John Oliver,Homme,,,,,
John Pinette,Homme,,,,,
Johnny Carson,Homme,,,,,
Jon Stewart,Homme,,,,,
Jonathan Katz,Homme,,,,,
Jonathan Winters,Homme,,,,,
Josh Blue,Homme,,,,,
Judy Gold,Femme,,,,,
Judy Tenuta,Femme,,,,,
Kathleen Madigan,Femme,,,,,
Kathy Griffin,Femme,,,,,
Katt Williams,Homme,,,,,
Kevin Barnett,Homme,,,,,
Kevin Hart,Homme,,,,,
Kevin James,Homme,,,,,
Kevin Pollak,Homme,,,,,
Kristen Schaal,Femme,,,,,
Kyle Cease,Homme,,,,,
Larry Miller,Homme,,,,,
Larry the Cable Guy,Homme,,,,,
Laura Kightlinger,Femme,,,,,
Lavell Crawford,Homme,,,,,
Lee Evans,Homme,,,,,
Lee Mack,Homme,,,,,
Lenny Bruce,Homme,,,,,
Lewis Black,Homme,,,,,
Lisa Lampanelli,Femme,,,,,
Louie Anderson,Homme,,,,,
Louis C. K.,Homme,,,,,
Lucille Ball,Femme,,,,,
Lynne Koplitz,Femme,,,,,
Marc Maron,Homme,,,,,
Margaret Cho,Femme,,,,,
Maria Bamford,Femme,,,,,
Mario Cantone,Homme,,,,,
Mark Curry,Homme,,,,,
Mark Watson,Homme,,,,,
Martin Lawrence,Homme,,,,,
Maz Jobrani,Homme,,,,,
Michael Blackson,Homme,,,,,
Michael Ian Black,Homme,,,,,
Michael McIntyre,Homme,,,,,
Mike Birbiglia,Homme,,,,,
Mike DeStefano,Homme,,,,,
Milton Berle,Homme,,,,,
Milton Jones,Homme,,,,,
Mitch Fatel,Homme,,,,,
Mitch Hedberg,Homme,,,,,
Mort Sahl,Homme,,,,,
Myq Kaplan,Homme,,,,,
Natasha Leggero,Femme,,,,,
Nate Bargatze,Homme,,,,,
Nick Di Paolo,Homme,,,,,
Nick Kroll,Homme,,,,,
Nick Swardson,Homme,,,,,
Noel Fielding,Homme,,,,,
Norm Macdonald,Homme,,,,,
Pablo Francisco,Homme,,,,,
Pat Cooper,Homme,,,,,
Patrice O'Neal,Homme,,,,,
Patton Oswalt,Homme,,,,,
Paul F Tompkins,Homme,,,,,
Paul Mooney,Homme,,,,,
Paul Reiser,Homme,,,,,
Paul Rodriguez,Homme,,,,,
Paula Poundstone,Femme,,,,,
Pete Correale,Homme,,,,,
Phyllis Diller,Femme,,,,,
Ray Romano,Homme,,,,,
Red Buttons,Homme,,,,,
Redd Foxx,Homme,,,,,
Rene Hicks,Femme,,,,,
Rhod Gilbert,Homme,,,,,
Rich Vos,Homme,,,,,
Richard Belzer,Homme,,,,,
Richard Jeni,Homme,,,,,
Richard Lewis,Homme,,,,,
Richard Pryor,Homme,,,,,
Ricky Gervais,Homme,,,,,
Rita Rudner,Femme,,,,,
Robert Kelly,Homme,,,,,
Robert Klein,Homme,,,,,
Robert Schimmel,Homme,,,,,
Robin Harris,Homme,,,,,
Robin Williams,Homme,,,,,
Rodney Carrington,Homme,,,,,
Rodney Dangerfield,Homme,,,,,
Ron White,Homme,,,,,
Roseanne Barr,Femme,,,,,
Rowan Atkinson,Homme,,,,,
Roy Wood Jr,Homme,,,,,
Russell Brand,Homme,,,,,
Russell Howard,Homme,,,,,
Russell Peters,Homme,,,,,
Sabrina Matthews,Femme,,,,,
Sam Kinison,Homme,,,,,
Sandra Bernhard,Femme,,,,,
Sarah Silverman,Femme,,,,,
Sean Rouse,Homme,,,,,
Seann Walsh,Homme,,,,,
Shelley Berman,Homme,,,,,
Sheryl Underwood,Femme,,,,,
Sinbad,Homme,,,,,
Sommore,Femme,,,,,
Stephen K. Amos,Homme,,,,,
Steve Byrne,Homme,,,,,
Steve Harvey,Homme,,,,,
Steve Hofstetter,Homme,,,,,
Steve Martin,Homme,,,,,
Steven Wright,Homme,,,,,
Stewart Lee,Homme,,,,,
Susie Essman,Femme,,,,,
T. J. Miller,Homme,,,,,
Ted Alexandro,Homme,,,,,
Tig Notaro,Femme,,,,,
Tim Allen,Homme,,,,,
Tim Minchin,Homme,,,,,
Tim Vine,Homme,,,,,
Tina Fey,Femme,,,,,
Todd Barry,Homme,,,,,
Todd Glass,Homme,,,,,
Tom Papa,Homme,,,,,
Tom Rhodes,Homme,,,,,
Tommy Cooper,Homme,,,,,
Tommy Johnagin,Homme,,,,,
Tracy Morgan,Homme,,,,,
Wanda Sykes,Femme,,,,,
Whitney Cummings,Femme,,,,,
Whoopi Goldberg,Femme,,,,,
Will Ferrell,Homme,,,,,
Woody Allen,Homme,,,,,
Yakov Smirnoff,Homme,,,,,
Zach Galifianakis,Homme,,,,,
